,id
0,7111
1,1539
2,314
3,5666
4,9734
5,1553
6,596
7,9890
8,8329
9,7250
10,9966
11,7786
12,2617
13,5011
14,6930
15,5267
16,8411
17,6034
18,4869
19,2097
20,4229
21,5686
22,6589
23,3494
24,4143
25,5205
26,9360
27,3822
28,3800
29,4084
30,4412
31,6088
32,8960
33,7002
34,5749
35,9527
36,2515
37,7176
38,8616
39,2923
40,2768
41,5140
42,3317
43,9869
44,8740
45,9696
46,3551
48,4519
49,6260
50,5220
51,7035
52,7662
53,456
54,1844
55,3367
56,2604
57,4321
58,8265
59,8964
60,951
61,9596
62,4339
63,929
64,6321
65,9253
66,5756
67,5399
68,7802
69,4604
70,9684
71,13
72,9857
73,8556
74,2630
75,6631
76,3273
77,8351
78,9535
79,6868
80,5625
81,9996
82,7031
83,7300
84,2136
85,3757
86,9359
87,1229
88,4275
89,2600
90,5550
91,9121
93,6447
94,7760
95,8846
96,1121
97,5670
98,1593
99,5945
100,1158
101,5906
102,324
103,8334
104,3558
105,6560
106,9442
107,2735
108,4630
109,7354
110,8796
111,438
112,7895
113,752
114,6470
115,7654
116,7723
117,4687
118,9921
119,8490
120,3174
121,4881
122,3567
123,3582
125,8077
126,1361
127,5933
128,5114
129,7720
130,3490
131,8643
133,84
134,1514
135,3915
136,7458
137,2574
138,9229
139,3326
140,7925
141,8134
142,801
143,6238
144,5555
145,9624
146,2211
147,7281
148,7383
149,7618
150,6322
151,7472
152,6542
153,1191
154,6231
155,5314
156,5868
157,5317
158,484
159,821
160,7577
161,1556
162,5614
163,5248
164,6476
165,4846
166,9039
167,7884
168,5844
169,9671
170,9553
171,6217
172,207
173,2378
174,7245
175,1739
176,7412
177,8921
178,5041
179,4626
180,7175
181,7006
182,1746
183,1949
184,5592
185,4247
186,3055
187,126
188,8431
189,2695
190,9252
191,7907
192,277
193,7868
194,1428
195,1093
196,8339
197,2834
198,410
199,9249
200,9007
201,2394
202,5404
203,2558
204,8760
205,9294
206,4799
207,786
208,6103
209,1684
210,2603
211,6750
212,4479
214,3329
215,8571
216,9651
217,2137
218,8999
219,4269
220,3746
