,reviewText,rating,nb_adj_adv,nb_words,ratio_adj_adv
0,boring stupid hard time finishing plot close discrimination dumb dont want attention screamed look car drove way dressed way acted close cover workyou acting tough end weak trusted dumb gets killed deserve right dont tell people cover army story stupiddont waste time wasted free monthly book mad,1,25,47,0.5319148936170213
1,ill admit im best cook downloaded book wanted save money eat healthier big breakfast guy cooking book days feel recharged energy book simple allows quickly cook different meals recommend wants try paleo diet especially love breakfast,5,12,36,0.3333333333333333
2,doesnt tell spotlights homes people cobbled live old trailers manual coffee table book,3,7,13,0.5384615384615384
3,met girlfriends person script flipped text tried help manospherewhen discovered author8217s blog found getting annoyed womanizing mindset way going pay money books read blog posts turned woman minutes sending text messagesso swallowed pride bought booklothario covers text girls book that8217s interested given strongly despise arrogant womanizers like read section trepidation impression approach texting women simple workbut tried lothario intelligent enoughi8217m going lie results pretty good women chase texting exchanges personguys like lothario steer men wrong direction disingenuous said approach control texting interactions women incredibly easya decent book womanizing dbag,4,39,89,0.43820224719101125
4,read reviews decided chance collection offer good story line strong characters read prodigious quantities looked collection enthralled time found fairly written offer meat sink teeth entire book 37 written sunday school class matters worse read class mr rogers hard language violence expected apocalyptic story characters constantly pursued wimpy aliens catch heroes fire barrage gunfire aliens aliens fire ray guns damage reminded teamif ya enjoy stories nature die hard fan great apocalypticdystopian fiction,2,26,72,0.3611111111111111
5,book packed great tips decorating home apartment dont ton money spend decorating getting place looking best book help like little information price great deal good use tips bookrecommended,4,7,28,0.25
6,thought great read little short liking wish substance like paying 299 story read day bit expensive good story,4,8,18,0.4444444444444444
7,sorry bored book couldnt finish couldnt past chapter 2 lot telling hardly showing feel needs editing formatting betterhardly indentation beginning paragraph difficult read,1,7,23,0.30434782608695654
8,dont read stimulate mind relax life time job unwinding challenging day choose books like characters enjoy relax prove good guysand fems win occasionally start series eye,4,4,26,0.15384615384615385
9,tried book couldnt past unrealistic instant love minimally developed characters ridiculously short timelines events needs fleshed ready prime time,1,9,19,0.47368421052631576
10,oh goodness starti loved paul emilycandys story loved loved loved emails got kelly father john meet new hottie named jai wouldnt mind seeing ofhint hint andre man gonna book chant meandre andre andre complaint endingi wanted,4,10,36,0.2777777777777778
11,aspects fantasy quest story like lord rings eragon diverges somewhat patternset distant future dystopia planet occupied humans having apparently escaped disintegrating earth race aliens strong magical capabilities refugees societal dislocations early cooperation disparate refugees happen similar physical characteristics breaks particular alien playing role god keeping segment human population despotic control lengthy period time apparently passed humans arrived survivors lost technologies modernity allows granted story little vague point generations past old knowledge deeply forgottenthe unlikely heroine energized death best female friend hands god based rumors hints good guys story sets quest free town control god evil alien manages use magical spells etcwhile loose ends unexplained cultural traditions eg importance year normal work age 23 story unfolds intense action lot explanatory narrative players describe fantasy universe primary problem fantasy story reader understanding fantasy universe works fantasies limit differences real universe fantasy features need explained particular story ambitious fantasy universe needed fully described understandable times author gives fact explanations certain plot elements reviewer mentions magical solutions tend come convenient pointsthis book prove enjoyable reader likes fantasy genre stories bit average suspension belief required accept plot variations able complete reading book couple days felt satisfied finished ive reading science fiction fantasy nearly 60 years ive seen lot stories awarded stars story middle pack compared multitude magical fantasy stories ive read,3,69,216,0.3194444444444444
12,book tells story seperate small groups come end story group prepared collapse city people dont know live land trusting difficult time come larger group near end story think lot people like found difficult characters straight head switching forth groups like reading books time think evil army somewhat unbelievable dont think people sell souls food book interesting read,4,25,57,0.43859649122807015
13,like book looking,1,4,3,1.3333333333333333
14,best way waste time money book greatest disappointment read long time country gentleman daughter baroness queen england attendance affair unbelievable affront great jane austen books,1,6,25,0.24
